Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2021-2022,_______ ________,Public,___,DUBAI,____,Female,_______,Emirati,1198,810
2021-2022,_______ ________,Public,___,DUBAI,____,Female,____,Resident,651,629
2021-2022,_______ ________,Public,___,DUBAI,___,Male,_______,Emirati,70,25
2021-2022,_______ ________,Public,___,DUBAI,___,Male,____,Resident,526,502
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1885,1322
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,____,Resident,413,409
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,153,37
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,____,Resident,620,608
2021-2022,_______ ________,Public,_____,AJMAN,____,Female,_______,Emirati,708,481
2021-2022,_______ ________,Public,_____,AJMAN,____,Female,____,Resident,305,291
2021-2022,_______ ________,Public,_____,AJMAN,___,Male,_______,Emirati,29,6
2021-2022,_______ ________,Public,_____,AJMAN,___,Male,____,Resident,299,277
2020-2021,_______ ________,Public,______,ABU DHABI,___ ____,Undefined,_______,Emirati,59,40
2020-2021,_______ ________,Public,______,ABU DHABI,___ ____,Undefined,____,Resident,22,21
2020-2021,_______ ________,Public,______,ABU DHABI,____,Female,_______,Emirati,2944,2072
2020-2021,_______ ________,Public,______,ABU DHABI,____,Female,____,Resident,1657,1577
2020-2021,_______ ________,Public,______,ABU DHABI,___,Male,_______,Emirati,492,234
2020-2021,_______ ________,Public,______,ABU DHABI,___,Male,____,Resident,1417,1243
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,___ ____,Undefined,_______,Emirati,1,0
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,_______,Emirati,370,249
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,____,Resident,117,115
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,_______,Emirati,10,3
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,____,Resident,123,118
2020-2021,_______ ________,Public,_______,SHARJAH,____,Female,_______,Emirati,1165,749
2020-2021,_______ ________,Public,_______,SHARJAH,____,Female,____,Resident,540,518
2020-2021,_______ ________,Public,_______,SHARJAH,___,Male,_______,Emirati,72,14
2020-2021,_______ ________,Public,_______,SHARJAH,___,Male,____,Resident,543,506
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,949,677
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,153,150
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,_______,Emirati,111,45
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,256,254
2020-2021,_______ ________,Public,______,AL DHAFRA,___ ____,Undefined,____,Resident,1,0
2020-2021,_______ ________,Public,______,AL DHAFRA,____,Female,_______,Emirati,296,157
2020-2021,_______ ________,Public,______,AL DHAFRA,____,Female,____,Resident,558,497
2020-2021,_______ ________,Public,______,AL DHAFRA,___,Male,_______,Emirati,17,4
2020-2021,_______ ________,Public,______,AL DHAFRA,___,Male,____,Resident,420,352
2020-2021,_______ ________,Public,_____,AL AIN,___ ____,Undefined,_______,Emirati,5,2
2020-2021,_______ ________,Public,_____,AL AIN,___ ____,Undefined,____,Resident,12,11
2020-2021,_______ ________,Public,_____,AL AIN,____,Female,_______,Emirati,3245,2236
2020-2021,_______ ________,Public,_____,AL AIN,____,Female,____,Resident,1361,1305
2020-2021,_______ ________,Public,_____,AL AIN,___,Male,_______,Emirati,413,195
2020-2021,_______ ________,Public,_____,AL AIN,___,Male,____,Resident,1282,1156
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____,Female,_______,Emirati,1393,1036
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____,Female,____,Resident,246,242
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,___,Male,_______,Emirati,85,25
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,___,Male,____,Resident,359,348
2020-2021,_______ ________,Public,___,DUBAI,____,Female,_______,Emirati,1182,812
2020-2021,_______ ________,Public,___,DUBAI,____,Female,____,Resident,619,599
2020-2021,_______ ________,Public,___,DUBAI,___,Male,_______,Emirati,67,28
2020-2021,_______ ________,Public,___,DUBAI,___,Male,____,Resident,501,481
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1884,1305
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,____,Resident,406,403
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,155,39
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,____,Resident,605,591
2020-2021,_______ ________,Public,_____,AJMAN,____,Female,_______,Emirati,710,477
2020-2021,_______ ________,Public,_____,AJMAN,____,Female,____,Resident,291,278
2020-2021,_______ ________,Public,_____,AJMAN,___,Male,_______,Emirati,27,6
2020-2021,_______ ________,Public,_____,AJMAN,___,Male,____,Resident,294,277
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,___ ____,Undefined,____,Resident,1,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,_______,Emirati,67,48
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,____,Female,____,Resident,53,46
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,_______,Emirati,10,7
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,___,Male,____,Resident,23,20
2020-2021,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2020-2021,_____ _______ _______,Continuous Education,__ _______,Umm Al Quwain,____,Female,____,Resident,1,0
2020-2021,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,_______,Emirati,2,1
2020-2021,_____ _______ _______,Continuous Education,_______,SHARJAH,____,Female,____,Resident,1,0
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,____,Female,_______,Emirati,3,3
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,___ ____,Undefined,____,Resident,2,2
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,_______,Emirati,70,51
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,____,Female,____,Resident,24,20
2020-2021,_____ _______ _______,Continuous Education,_______,AL FUJAIRAH,___,Male,_______,Emirati,2,0
