Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2015-2016 : Spring,Al Khawarizmi International College,Female,National,27
2015-2016 : Spring,Al Khawarizmi International College,Female,Non-National,39
2017-2018 : Spring,Al Khawarizmi International College,Female,National,60
2019-2020 : Summer 1,Al Ain University of Science and Technology,Female,Non-National,19
2019-2020 : Summer 2,Al Ain University of Science and Technology,Female,National,19
2019-2020 : Summer 2,Al Ain University of Science and Technology,Female,Non-National,41
2020-2021 : Spring,Al Ain University of Science and Technology,Female,National,104
2020-2021 : Spring,Al Ain University of Science and Technology,Female,Non-National,128
2020-2021 : Summer 2,Al Ain University of Science and Technology,Female,National,24
2020-2021 : Summer 2,Al Ain University of Science and Technology,Female,Non-National,288
2021-2022 : Spring,Al Ain University of Science and Technology,Female,Non-National,742
2021-2022 : Summer 1,Al Ain University of Science and Technology,Female,National,16
2021-2022 : Summer 1,Al Ain University of Science and Technology,Female,Non-National,454
2022-2023 : Fall,Al Ain University of Science and Technology,Female,Non-National,1403
2012-2013 : Fall,Al Dar University College,Female,National,56
2012-2013 : Spring,Al Dar University College,Female,National,34
2012-2013 : Spring,Al Dar University College,Female,Non-National,9
2013-2014 : Fall,Al Dar University College,Female,Non-National,84
2016-2017 : Fall,Al Dar University College,Female,Non-National,49
2016-2017 : Spring,Al Dar University College,Female,Non-National,19
2017-2018 : Fall,Al Dar University College,Female,Non-National,83
2017-2018 : Summer 1,Al Dar University College,Female,National,2
2017-2018 : Summer 1,Al Dar University College,Female,Non-National,1
2018-2019 : Fall,Al Dar University College,Female,National,17
2018-2019 : Fall,Al Dar University College,Female,Non-National,61
2019-2020 : Fall,Al Dar University College,Female,National,12
2019-2020 : Spring,Al Dar University College,Female,National,9
2015-2016 : Spring,Al Falah University,Female,National,32
2016-2017 : Fall,Al Falah University,Female,National,44
2016-2017 : Fall,Al Falah University,Female,Non-National,12
2016-2017 : Spring,Al Falah University,Female,National,23
2016-2017 : Spring,Al Falah University,Female,Non-National,9
2017-2018 : Fall,Al Falah University,Female,National,23
2017-2018 : Fall,Al Falah University,Female,Non-National,20
2017-2018 : Summer 1,Al Falah University,Female,National,7
2017-2018 : Winter,Al Falah University,Female,Non-National,5
2018-2019 : Fall,Al Falah University,Female,National,35
2018-2019 : Fall,Al Falah University,Female,Non-National,20
2018-2019 : Spring,Al Falah University,Female,Non-National,10
2018-2019 : Summer 1,Al Falah University,Female,National,1
2018-2019 : Summer 1,Al Falah University,Female,Non-National,1
2019-2020 : Summer 1,Al Falah University,Female,Non-National,1
2020-2021 : Spring,Al Falah University,Female,Non-National,9
2020-2021 : Summer 1,Al Falah University,Female,National,2
2021-2022 : Fall,Al Falah University,Female,National,18
2021-2022 : Fall,Al Falah University,Female,Non-National,12
2012-2013 : Fall,Al Ghurair University,Female,National,18
2012-2013 : Fall,Al Ghurair University,Female,Non-National,55
2012-2013 : Spring,Al Ghurair University,Female,National,12
2012-2013 : Spring,Al Ghurair University,Female,Non-National,15
2013-2014 : Fall,Al Ghurair University,Female,Non-National,87
2013-2014 : Spring,Al Ghurair University,Female,National,15
2014-2015 : Spring,Al Ghurair University,Female,National,16
2015-2016 : Fall,Al Ghurair University,Female,National,22
2018-2019 : Spring,Al Khawarizmi International College,Female,National,64
2019-2020 : Fall,Al Khawarizmi International College,Female,Non-National,122
2019-2020 : Spring,Al Khawarizmi International College,Female,National,55
2019-2020 : Spring,Al Khawarizmi International College,Female,Non-National,59
2020-2021 : Spring,Al Khawarizmi International College,Female,National,2
2020-2021 : Spring,Al Khawarizmi International College,Female,Non-National,2
2021-2022 : Fall,Al Khawarizmi International College,Female,National,23
2021-2022 : Spring,Al Khawarizmi International College,Female,Non-National,32
2022-2023 : Fall,Al Khawarizmi International College,Female,Non-National,110
2019-2020 : Spring,Al Qasimiya University,Female,Non-National,413
2020-2021 : Fall,Al Qasimiya University,Female,Non-National,390
2020-2021 : Spring,Al Qasimiya University,Female,National,6
2020-2021 : Spring,Al Qasimiya University,Female,Non-National,488
2021-2022 : Fall,Al Qasimiya University,Female,National,8
2021-2022 : Spring,Al Qasimiya University,Female,Non-National,520
2022-2023 : Fall,Al Qasimiya University,Female,Non-National,28
2012-2013 : Fall,Al Wasl University,Female,Non-National,744
2013-2014 : Fall,Al Wasl University,Female,National,94
2014-2015 : Fall,Al Wasl University,Female,National,59
2014-2015 : Fall,Al Wasl University,Female,Non-National,703
2015-2016 : Fall,Al Wasl University,Female,Non-National,48
2015-2016 : Spring,Al Wasl University,Female,National,75
2016-2017 : Fall,Al Wasl University,Female,National,106
2016-2017 : Spring,Al Wasl University,Female,National,93
2017-2018 : Fall,Al Wasl University,Female,National,60
2018-2019 : Fall,Al Wasl University,Female,National,50
2018-2019 : Spring,Al Wasl University,Female,National,1
2018-2019 : Spring,Al Wasl University,Female,Non-National,2
2019-2020 : Spring,Al Wasl University,Female,Non-National,1
2020-2021 : Fall,Al Wasl University,Female,Non-National,321
2020-2021 : Spring,Al Wasl University,Female,National,4
2020-2021 : Spring,Al Wasl University,Female,Non-National,4
2021-2022 : Fall,Al Wasl University,Female,National,37
2013-2014 : Fall,American College of Dubai,Female,National,1
2013-2014 : Fall,American College of Dubai,Female,Non-National,56
2013-2014 : Spring,American College of Dubai,Female,National,1
2014-2015 : Fall,American College of Dubai,Female,National,1
2014-2015 : Fall,American College of Dubai,Female,Non-National,38
2015-2016 : Fall,American College of Dubai,Female,National,2
2015-2016 : Spring,American College of Dubai,Female,Non-National,20
2017-2018 : Spring,American College of Dubai,Female,National,3
2017-2018 : Spring,American College of Dubai,Female,Non-National,7
2018-2019 : Fall,American College of Dubai,Female,Non-National,15
2018-2019 : Spring,American College of Dubai,Female,Non-National,3
2019-2020 : Fall,American College of Dubai,Female,National,2
2019-2020 : Fall,American College of Dubai,Female,Non-National,25
2019-2020 : Spring,American College of Dubai,Female,National,2
2019-2020 : Spring,American College of Dubai,Female,Non-National,5
2020-2021 : Spring,American College of Dubai,Female,Non-National,1
2012-2013 : Fall,American University in Dubai,Female,National,25
2012-2013 : Fall,American University in Dubai,Female,Non-National,257
2012-2013 : Spring,American University in Dubai,Female,Non-National,35
2015-2016 : Spring,American University in Dubai,Female,National,3
2017-2018 : Spring,American University in Dubai,Female,National,8
2015-2016 : Spring,Al Ghurair University,Female,National,15
2015-2016 : Spring,Al Ghurair University,Female,Non-National,23
2016-2017 : Fall,Al Ghurair University,Female,Non-National,92
2016-2017 : Spring,Al Ghurair University,Female,Non-National,24
2017-2018 : Fall,Al Ghurair University,Female,National,15
2017-2018 : Summer 1,Al Ghurair University,Female,Non-National,2
2018-2019 : Fall,Al Ghurair University,Female,Non-National,72
2018-2019 : Spring,Al Ghurair University,Female,National,15
2018-2019 : Spring,Al Ghurair University,Female,Non-National,25
2019-2020 : Fall,Al Ghurair University,Female,National,13
2019-2020 : Fall,Al Ghurair University,Female,Non-National,51
2019-2020 : Spring,Al Ghurair University,Female,National,1
2019-2020 : Spring,Al Ghurair University,Female,Non-National,7
2020-2021 : Fall,Al Ghurair University,Female,National,5
2012-2013 : Fall,Al Hosn University,Female,Non-National,95
2013-2014 : Fall,Al Hosn University,Female,National,36
2013-2014 : Spring,Al Hosn University,Female,National,36
2014-2015 : Fall,Al Hosn University,Female,National,32
2014-2015 : Fall,Al Hosn University,Female,Non-National,82
2012-2013 : Fall,Al Khawarizmi International College,Female,National,68
2012-2013 : Spring,Al Khawarizmi International College,Female,National,50
2012-2013 : Spring,Al Khawarizmi International College,Female,Non-National,69
2013-2014 : Fall,Al Khawarizmi International College,Female,Non-National,104
2013-2014 : Spring,Al Khawarizmi International College,Female,National,29
2013-2014 : Spring,Al Khawarizmi International College,Female,Non-National,71
2014-2015 : Fall,Al Khawarizmi International College,Female,Non-National,105
2014-2015 : Spring,Al Khawarizmi International College,Female,National,32
2015-2016 : Fall,Al Khawarizmi International College,Female,National,23
2015-2016 : Fall,Al Khawarizmi International College,Female,Non-National,79
2016-2017 : Fall,Al Khawarizmi International College,Female,National,91
2016-2017 : Fall,Al Khawarizmi International College,Female,Non-National,111
