Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2018-2019 : Fall,Jumeira University,Male,Non-National,24
2018-2019 : Spring,Jumeira University,Male,Non-National,9
2019-2020 Full year courses,Jumeira University,Male,National,1
2019-2020 Full year courses,Jumeira University,Male,Non-National,10
2020-2021 : Spring,Jumeira University,Male,Non-National,15
2021-2022 : Fall,Jumeira University,Male,National,5
2021-2022 : Fall,Jumeira University,Male,Non-National,27
2012-2013 : Fall,Khalifa University of Science and Technology,Male,National,176
2012-2013 : Fall,Khalifa University of Science and Technology,Male,Non-National,25
2012-2013 : Spring,Khalifa University of Science and Technology,Male,National,144
2012-2013 : Spring,Khalifa University of Science and Technology,Male,Non-National,21
2013-2014 : Spring,Khalifa University of Science and Technology,Male,Non-National,2
2014-2015 : Spring,Khalifa University of Science and Technology,Male,National,11
2015-2016 : Fall,Khalifa University of Science and Technology,Male,National,135
2016-2017 : Fall,Khalifa University of Science and Technology,Male,Non-National,28
2017-2018 : Winter,Khalifa University of Science and Technology,Male,National,10
2017-2018 : Winter,Khalifa University of Science and Technology,Male,Non-National,10
2018-2019 : Fall,Khalifa University of Science and Technology,Male,Non-National,141
2019-2020 : Fall,Khalifa University of Science and Technology,Male,National,203
2019-2020 : Fall,Khalifa University of Science and Technology,Male,Non-National,124
2019-2020 : Spring,Khalifa University of Science and Technology,Male,National,71
2019-2020 : Spring,Khalifa University of Science and Technology,Male,Non-National,61
2020-2021 : Fall,Khalifa University of Science and Technology,Male,National,90
2021-2022 : Spring,Khalifa University of Science and Technology,Male,National,254
2021-2022 : Spring,Khalifa University of Science and Technology,Male,Non-National,71
2022-2023 : Fall,Khalifa University of Science and Technology,Male,National,103
2022-2023 : Fall,Khalifa University of Science and Technology,Male,Non-National,160
2022-2023 : Full year courses,Khalifa University of Science and Technology,Male,National,4
2022-2023 : Spring,Khalifa University of Science and Technology,Male,Non-National,61
2022-2023 : Winter,"London Business School, Dubai",Male,Non-National,128
2012-2013 : Fall,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,24
2012-2013 : Spring,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,2
2013-2014 : Fall,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,Non-National,108
2013-2014 : Spring,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,6
2014-2015 : Spring,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,4
2015-2016 : Fall,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,16
2015-2016 : Spring,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,National,7
2015-2016 : Spring,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,Non-National,11
2016-2017 : Fall,MASDAR INSTITUTE OF SCIENCE & TECHNOLOGY ,Male,Non-National,30
2017-2018 : Spring,MENA College of Management,Male,National,63
2017-2018 : Spring,MENA College of Management,Male,Non-National,1
2019-2020 : Spring,MENA College of Management,Male,Non-National,1
2020-2021 : Spring,Mohamed Bin Zayed University Of Artificial Intelligence,Male,National,6
2022-2023 : Fall,Mohamed Bin Zayed University Of Artificial Intelligence,Male,Non-National,71
2022-2023 : Spring,Mohamed Bin Zayed University Of Artificial Intelligence,Male,Non-National,4
2013-2014 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,1
2014-2015 : Fall,Mohammed Bin Rashid School of Government,Male,National,4
2014-2015 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,1
2016-2017 : Fall,Mohammed Bin Rashid School of Government,Male,National,5
2016-2017 : Fall,Mohammed Bin Rashid School of Government,Male,Non-National,1
2016-2017 : Spring,Mohammed Bin Rashid School of Government,Male,National,21
2017-2018 : Fall,Mohammed Bin Rashid School of Government,Male,Non-National,3
2017-2018 : Spring,Mohammed Bin Rashid School of Government,Male,National,27
2017-2018 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,3
2018-2019 : Fall,Mohammed Bin Rashid School of Government,Male,National,30
2019-2020 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,1
2020-2021 : Fall,Mohammed Bin Rashid School of Government,Male,Non-National,1
2020-2021 : Spring,Mohammed Bin Rashid School of Government,Male,National,17
2021-2022 : Fall,Mohammed Bin Rashid School of Government,Male,National,17
2021-2022 : Spring,Mohammed Bin Rashid School of Government,Male,National,35
2021-2022 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,2
2022-2023 : Spring,Mohammed Bin Rashid School of Government,Male,National,27
2022-2023 : Spring,Mohammed Bin Rashid School of Government,Male,Non-National,1
2016-2017 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,National,3
2016-2017 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,17
2017-2018 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,National,1
2017-2018 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,12
2018-2019 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,15
2020-2021 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,National,5
2020-2021 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,27
2021-2022 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,16
2021-2022 : Spring,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,National,3
2022-2023 : Fall,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,National,3
2022-2023 : Spring,Mohammed Bin Rashid University of Medicine And Health Sciences,Male,Non-National,2
2015-2016 : Fall,Mohammed V University Agdal Abu Dhabi,Male,National,72
2015-2016 : Fall,Mohammed V University Agdal Abu Dhabi,Male,Non-National,57
2016-2017 : Fall,Mohammed V University Agdal Abu Dhabi,Male,National,25
2016-2017 : Fall,Mohammed V University Agdal Abu Dhabi,Male,Non-National,17
2017-2018 : Fall,Mohammed V University Agdal Abu Dhabi,Male,National,27
2017-2018 : Fall,Mohammed V University Agdal Abu Dhabi,Male,Non-National,25
2022-2023 : Spring,Mohammed V University Agdal Abu Dhabi,Male,National,56
2012-2013 : Fall,New York Institute of Technology,Male,Non-National,7
2012-2013 : Spring,New York Institute of Technology,Male,Non-National,5
2013-2014 : Fall,New York Institute of Technology,Male,Non-National,13
2013-2014 : Spring,New York Institute of Technology,Male,National,1
2013-2014 : Spring,New York Institute of Technology,Male,Non-National,2
2013-2014 : Fall,New York University Abu Dhabi,Male,National,7
2016-2017 : Fall,Skyline University College,Male,National,57
2016-2017 : Fall,Skyline University College,Male,Non-National,61
2016-2017 : Spring,Skyline University College,Male,National,52
2016-2017 : Spring,Skyline University College,Male,Non-National,23
2017-2018 : Fall,Skyline University College,Male,Non-National,78
2018-2019 : Fall,Skyline University College,Male,National,171
2018-2019 : Fall,Skyline University College,Male,Non-National,55
2019-2020 : Fall,Skyline University College,Male,National,183
2019-2020 : Spring,Skyline University College,Male,National,99
2021-2022 : Fall,Skyline University College,Male,Non-National,9
2021-2022 : Spring,Skyline University College,Male,National,2
2022-2023 : Fall,Skyline University College,Male,National,80
2022-2023 : Spring,Skyline University College,Male,National,89
2022-2023 : Spring,Skyline University College,Male,Non-National,24
2012-2013 : Fall,Syscoms College,Male,National,214
2012-2013 : Spring,Syscoms College,Male,National,158
2012-2013 : Spring,Syscoms College,Male,Non-National,1
2013-2014 : Fall,Syscoms College,Male,Non-National,10
2013-2014 : Spring,Syscoms College,Male,National,59
2014-2015 : Spring,Syscoms College,Male,National,67
2015-2016 : Spring,Syscoms College,Male,Non-National,14
2016-2017 : Fall,Syscoms College,Male,Non-National,9
2016-2017 : Spring,Syscoms College,Male,National,69
2016-2017 : Spring,Syscoms College,Male,Non-National,12
2017-2018 : Fall,Syscoms College,Male,Non-National,69
2018-2019 : Summer 1,Syscoms College,Male,National,20
2018-2019 : Summer 1,Syscoms College,Male,Non-National,2
2019-2020 : Fall,Syscoms College,Male,National,53
2019-2020 : Spring,Syscoms College,Male,National,12
2012-2013 : Fall,The British University in Dubai,Male,National,16
2012-2013 : Fall,The British University in Dubai,Male,Non-National,37
2012-2013 : Spring,The British University in Dubai,Male,Non-National,25
2014-2015 : Fall,The British University in Dubai,Male,National,22
2014-2015 : Spring,The British University in Dubai,Male,Non-National,34
2015-2016 : Spring,The British University in Dubai,Male,National,18
2017-2018 : Winter,The British University in Dubai,Male,Non-National,22
2018-2019 : Spring,The British University in Dubai,Male,National,13
2019-2020 : Fall,The British University in Dubai,Male,National,66
2019-2020 : Fall,The British University in Dubai,Male,Non-National,114
2019-2020 : Spring,The British University in Dubai,Male,National,13
2019-2020 : Spring,The British University in Dubai,Male,Non-National,24
2020-2021 : Spring,The British University in Dubai,Male,National,17
2021-2022 : Spring,The British University in Dubai,Male,National,30
2021-2022 : Spring,The British University in Dubai,Male,Non-National,25
2022-2023 : Fall,The British University in Dubai,Male,National,16
2022-2023 : Fall,The British University in Dubai,Male,Non-National,81
2012-2013 : Fall,THE PETROLEUM INSTITUTE ,Male,Non-National,50
2014-2015 : Fall,THE PETROLEUM INSTITUTE ,Male,National,93
2015-2016 : Spring,THE PETROLEUM INSTITUTE ,Male,National,24
2012-2013 : Fall,United Arab Emirates University,Male,National,533
2012-2013 : Fall,United Arab Emirates University,Male,Non-National,209
2012-2013 : Spring,United Arab Emirates University,Male,National,77
2012-2013 : Spring,United Arab Emirates University,Male,Non-National,162
2013-2014 : Fall,United Arab Emirates University,Male,Non-National,146
2013-2014 : Fall,New York University Abu Dhabi,Male,Non-National,74
2013-2014 : Spring,New York University Abu Dhabi,Male,National,9
2014-2015 : Fall,New York University Abu Dhabi,Male,National,4
2014-2015 : Fall,New York University Abu Dhabi,Male,Non-National,115
2016-2017 : Fall,New York University Abu Dhabi,Male,National,11
2016-2017 : Fall,New York University Abu Dhabi,Male,Non-National,132
2017-2018 : Fall,New York University Abu Dhabi,Male,Non-National,155
2018-2019 : Fall,New York University Abu Dhabi,Male,National,26
2020-2021 : Summer 1,New York University Abu Dhabi,Male,National,3
2020-2021 : Summer 1,New York University Abu Dhabi,Male,Non-National,2
2021-2022 : Fall,New York University Abu Dhabi,Male,National,22
2021-2022 : Fall,New York University Abu Dhabi,Male,Non-National,217
2021-2022 : Summer 1,New York University Abu Dhabi,Male,Non-National,4
2012-2013 : Fall,Paris Sorbonne University Abu Dhabi,Male,National,31
2012-2013 : Fall,Paris Sorbonne University Abu Dhabi,Male,Non-National,49
2013-2014 : Spring,Paris Sorbonne University Abu Dhabi,Male,National,17
2013-2014 : Spring,Paris Sorbonne University Abu Dhabi,Male,Non-National,63
2014-2015 : Fall,Paris Sorbonne University Abu Dhabi,Male,National,11
2014-2015 : Spring,Paris Sorbonne University Abu Dhabi,Male,National,29
2014-2015 : Spring,Paris Sorbonne University Abu Dhabi,Male,Non-National,86
2015-2016 : Fall,Paris Sorbonne University Abu Dhabi,Male,Non-National,1
2015-2016 : Spring,Paris Sorbonne University Abu Dhabi,Male,Non-National,90
2019-2020 : Fall,Paris Sorbonne University Abu Dhabi,Male,National,31
2019-2020 : Fall,Paris Sorbonne University Abu Dhabi,Male,Non-National,10
2015-2016 : Spring,RABDAN Academy,Male,National,7
2016-2017 : Fall,RABDAN Academy,Male,National,69
2016-2017 : Spring,RABDAN Academy,Male,National,35
2018-2019 : Fall,RABDAN Academy,Male,National,130
2018-2019 : Spring,RABDAN Academy,Male,National,183
2018-2019 : Summer 1,RABDAN Academy,Male,National,6
2019-2020 : Fall,RABDAN Academy,Male,National,143
2019-2020 : Summer 1,RABDAN Academy,Male,Non-National,1
2020-2021 : Spring,RABDAN Academy,Male,Non-National,1
2020-2021 : Summer 1,RABDAN Academy,Male,National,13
2021-2022 : Fall,RABDAN Academy,Male,National,44
2021-2022 : Spring,RABDAN Academy,Male,Non-National,2
2022-2023 : Fall,RABDAN Academy,Male,National,145
2013-2014 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,100
2014-2015 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,National,3
2014-2015 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,94
2015-2016 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,National,2
2015-2016 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,115
2016-2017 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,National,3
2016-2017 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,101
2017-2018 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,National,5
2017-2018 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,63
2018-2019 Full year courses,Ras Al Khaimah Medical And Health Sciences University,Male,National,5
2018-2019 Full year courses,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,75
2019-2020 : Spring,Ras Al Khaimah Medical And Health Sciences University,Male,National,8
2013-2014 : Spring,United Arab Emirates University,Male,National,76
2013-2014 : Spring,United Arab Emirates University,Male,Non-National,193
2014-2015 : Spring,United Arab Emirates University,Male,National,54
2014-2015 : Spring,United Arab Emirates University,Male,Non-National,62
2015-2016 : Fall,United Arab Emirates University,Male,National,316
2015-2016 : Spring,United Arab Emirates University,Male,National,81
2015-2016 : Spring,United Arab Emirates University,Male,Non-National,78
2016-2017 : Fall,United Arab Emirates University,Male,Non-National,157
2016-2017 : Spring,United Arab Emirates University,Male,Non-National,62
2017-2018 : Fall,United Arab Emirates University,Male,Non-National,272
2018-2019 : Fall,United Arab Emirates University,Male,Non-National,196
2018-2019 : Spring,United Arab Emirates University,Male,Non-National,77
2018-2019 : Summer 1,United Arab Emirates University,Male,Non-National,1
2019-2020 : Fall,United Arab Emirates University,Male,National,262
2019-2020 : Fall,United Arab Emirates University,Male,Non-National,169
2019-2020 : Spring,United Arab Emirates University,Male,National,212
2019-2020 : Spring,United Arab Emirates University,Male,Non-National,102
2020-2021 : Fall,United Arab Emirates University,Male,National,149
2021-2022 : Spring,United Arab Emirates University,Male,National,316
2022-2023 : Fall,United Arab Emirates University,Male,National,111
2022-2023 : Fall,United Arab Emirates University,Male,Non-National,180
2022-2023 : Full year courses,United Arab Emirates University,Male,National,11
2022-2023 : Spring,United Arab Emirates University,Male,National,150
2018-2019 : Spring,University of Balamand Dubai,Male,National,2
2019-2020 : Fall,University of Balamand Dubai,Male,Non-National,13
2019-2020 : Spring,University of Balamand Dubai,Male,Non-National,1
2012-2013 : Fall,University of Dubai,Male,National,18
2012-2013 : Fall,University of Dubai,Male,Non-National,59
2012-2013 : Spring,University of Dubai,Male,Non-National,15
2014-2015 : Fall,University of Dubai,Male,National,22
2014-2015 : Spring,University of Dubai,Male,National,3
2014-2015 : Spring,University of Dubai,Male,Non-National,17
2015-2016 : Fall,University of Dubai,Male,Non-National,36
2015-2016 : Spring,University of Dubai,Male,National,23
2017-2018 : Spring,University of Dubai,Male,National,41
2017-2018 : Winter,University of Dubai,Male,National,1
2018-2019 : Spring,University of Dubai,Male,National,54
2018-2019 : Summer 1,University of Dubai,Male,National,15
2018-2019 : Summer 1,University of Dubai,Male,Non-National,2
2019-2020 : Fall,University of Dubai,Male,National,106
2019-2020 : Fall,University of Dubai,Male,Non-National,32
2019-2020 : Spring,University of Dubai,Male,National,96
2019-2020 : Spring,University of Dubai,Male,Non-National,13
2019-2020 : Summer 1,University of Dubai,Male,National,7
2020-2021 : Spring,University of Dubai,Male,National,103
2020-2021 : Summer 2,University of Dubai,Male,National,8
2020-2021 : Winter,University of Dubai,Male,National,6
2021-2022 : Spring,University of Dubai,Male,National,55
2021-2022 : Spring,University of Dubai,Male,Non-National,6
2021-2022 : Summer 1,University of Dubai,Male,National,5
2021-2022 : Summer 1,University of Dubai,Male,Non-National,1
2021-2022 : Winter,University of Dubai,Male,National,1
2022-2023 : Fall,University of Dubai,Male,National,56
2022-2023 : Fall,University of Dubai,Male,Non-National,33
2019-2020 : Spring,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,83
2020-2021 Full year courses,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,85
2022-2023 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,National,4
2022-2023 : Fall,Ras Al Khaimah Medical And Health Sciences University,Male,Non-National,93
2013-2014 : Fall,Rochester Institute of Technology - Dubai,Male,National,5
2013-2014 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,78
2013-2014 : Spring,Rochester Institute of Technology - Dubai,Male,National,1
2013-2014 : Spring,Rochester Institute of Technology - Dubai,Male,Non-National,13
2014-2015 : Fall,Rochester Institute of Technology - Dubai,Male,National,5
2014-2015 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,84
2014-2015 : Spring,Rochester Institute of Technology - Dubai,Male,National,1
2014-2015 : Spring,Rochester Institute of Technology - Dubai,Male,Non-National,10
2015-2016 : Fall,Rochester Institute of Technology - Dubai,Male,National,11
2016-2017 : Fall,Rochester Institute of Technology - Dubai,Male,National,32
2016-2017 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,135
2017-2018 : Fall,Rochester Institute of Technology - Dubai,Male,National,19
2017-2018 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,68
2018-2019 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,121
2018-2019 : Spring,Rochester Institute of Technology - Dubai,Male,National,10
2018-2019 : Spring,Rochester Institute of Technology - Dubai,Male,Non-National,28
2019-2020 : Fall,Rochester Institute of Technology - Dubai,Male,National,37
2019-2020 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,113
2019-2020 : Spring,Rochester Institute of Technology - Dubai,Male,National,5
2020-2021 : Fall,Rochester Institute of Technology - Dubai,Male,National,42
2020-2021 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,202
2020-2021 : Spring,Rochester Institute of Technology - Dubai,Male,National,32
2020-2021 : Spring,Rochester Institute of Technology - Dubai,Male,Non-National,41
2021-2022 : Fall,Rochester Institute of Technology - Dubai,Male,Non-National,232
2022-2023 : Fall,Rochester Institute of Technology - Dubai,Male,National,35
2022-2023 : Spring,Rochester Institute of Technology - Dubai,Male,National,21
2012-2013 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,National,3
2012-2013 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,Non-National,9
2015-2016 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,National,1
2015-2016 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,Non-National,9
2017-2018 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,Non-National,12
2017-2018 : Spring,Royal College of Surgeons in Ireland- Dubai,Male,National,1
2019-2020 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,National,2
2019-2020 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,Non-National,9
2020-2021 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,National,9
2020-2021 : Fall,Royal College of Surgeons in Ireland- Dubai,Male,Non-National,5
2020-2021 : Spring,Royal College of Surgeons in Ireland- Dubai,Male,National,8
2022-2023 : Fall,Sharjah Performing Arts Academy,Male,National,1
2012-2013 : Fall,Skyline University College,Male,Non-National,69
2013-2014 : Fall,Skyline University College,Male,National,80
2012-2013 : Fall,University of Fujairah,Male,National,29
2012-2013 : Fall,University of Fujairah,Male,Non-National,3
2012-2013 : Spring,University of Fujairah,Male,Non-National,1
2015-2016 : Spring,University of Fujairah,Male,National,17
2016-2017 : Spring,University of Fujairah,Male,National,35
2017-2018 : Summer 1,University of Fujairah,Male,National,2
2017-2018 : Winter,University of Fujairah,Male,National,30
2017-2018 : Winter,University of Fujairah,Male,Non-National,4
2018-2019 : Fall,University of Fujairah,Male,National,63
2018-2019 : Fall,University of Fujairah,Male,Non-National,10
2018-2019 : Summer 1,University of Fujairah,Male,National,1
2020-2021 : Spring,University of Fujairah,Male,National,17
2021-2022 : Fall,University of Fujairah,Male,National,31
2022-2023 : Fall,University of Fujairah,Male,Non-National,46
2022-2023 : Winter,University of Fujairah,Male,Non-National,10
2012-2013 : Fall,University of Jazeera,Male,National,3384
2012-2013 : Spring,University of Jazeera,Male,National,714
2012-2013 : Spring,University of Jazeera,Male,Non-National,45
2013-2014 : Fall,University of Jazeera,Male,Non-National,195
2012-2013 : Fall,University of Modern Sciences,Male,National,110
2013-2014 : Spring,University of Modern Sciences,Male,National,699
2014-2015 : Fall,University of Modern Sciences,Male,Non-National,10
2014-2015 : Spring,University of Modern Sciences,Male,National,295
2015-2016 : Spring,University of Modern Sciences,Male,National,288
2015-2016 : Spring,University of Modern Sciences,Male,Non-National,17
2016-2017 : Fall,University of Modern Sciences,Male,National,101
2016-2017 : Spring,University of Modern Sciences,Male,National,88
2016-2017 : Spring,University of Modern Sciences,Male,Non-National,9
2017-2018 : Fall,University of Modern Sciences,Male,National,55
2018-2019 : Spring,University of Modern Sciences,Male,National,1
2019-2020 : Spring,University of Modern Sciences,Male,National,2
2020-2021 : Fall,University Of Science And Technology of Fujairah,Male,Non-National,25
2021-2022 : Fall,University Of Science And Technology of Fujairah,Male,National,37
2021-2022 : Fall,University Of Science And Technology of Fujairah,Male,Non-National,13
2021-2022 : Spring,University Of Science And Technology of Fujairah,Male,National,19
2021-2022 : Spring,University Of Science And Technology of Fujairah,Male,Non-National,4
2022-2023 : Fall,University Of Science And Technology of Fujairah,Male,Non-National,9
2022-2023 : Spring,University Of Science And Technology of Fujairah,Male,National,12
2022-2023 : Spring,University Of Science And Technology of Fujairah,Male,Non-National,5
2012-2013 : Spring,University of Sharjah,Male,National,127
2013-2014 : Fall,University of Sharjah,Male,National,348
2013-2014 : Fall,University of Sharjah,Male,Non-National,697
2014-2015 : Fall,University of Sharjah,Male,National,312
2014-2015 : Fall,University of Sharjah,Male,Non-National,680
2016-2017 : Fall,University of Sharjah,Male,National,487
2016-2017 : Fall,University of Sharjah,Male,Non-National,671
2016-2017 : Spring,University of Sharjah,Male,National,83
2016-2017 : Spring,University of Sharjah,Male,Non-National,185
2017-2018 : Fall,University of Sharjah,Male,National,479
2017-2018 : Fall,University of Sharjah,Male,Non-National,853
2017-2018 : Spring,University of Sharjah,Male,Non-National,161
2018-2019 : Fall,University of Sharjah,Male,National,635
2018-2019 : Fall,University of Sharjah,Male,Non-National,545
2013-2014 : Spring,Skyline University College,Male,National,47
2013-2014 : Spring,Skyline University College,Male,Non-National,31
2014-2015 : Fall,Skyline University College,Male,National,43
2014-2015 : Fall,Skyline University College,Male,Non-National,61
2014-2015 : Spring,Skyline University College,Male,Non-National,31
2015-2016 : Fall,Skyline University College,Male,National,47
2015-2016 : Fall,Skyline University College,Male,Non-National,57
2015-2016 : Spring,Skyline University College,Male,National,47
2015-2016 : Spring,Skyline University College,Male,Non-National,40
2017-2018 : Fall,Skyline University College,Male,National,49
2017-2018 : Spring,Skyline University College,Male,National,75
2017-2018 : Spring,Skyline University College,Male,Non-National,23
2019-2020 : Fall,Skyline University College,Male,Non-National,28
2019-2020 : Spring,Skyline University College,Male,Non-National,17
2020-2021 : Fall,Skyline University College,Male,National,218
2020-2021 : Fall,Skyline University College,Male,Non-National,16
2020-2021 : Spring,Skyline University College,Male,National,90
2020-2021 : Spring,Skyline University College,Male,Non-National,6
2021-2022 : Fall,Skyline University College,Male,National,66
2021-2022 : Spring,Skyline University College,Male,Non-National,4
2022-2023 : Fall,Skyline University College,Male,Non-National,44
2012-2013 : Fall,Syscoms College,Male,Non-National,12
2013-2014 : Fall,Syscoms College,Male,National,117
2013-2014 : Spring,Syscoms College,Male,Non-National,9
2014-2015 : Fall,Syscoms College,Male,National,95
2014-2015 : Fall,Syscoms College,Male,Non-National,19
2014-2015 : Spring,Syscoms College,Male,Non-National,19
2015-2016 : Fall,Syscoms College,Male,National,165
2015-2016 : Fall,Syscoms College,Male,Non-National,43
2015-2016 : Spring,Syscoms College,Male,National,70
2016-2017 : Fall,Syscoms College,Male,National,111
2017-2018 : Fall,Syscoms College,Male,National,25
2017-2018 : Spring,Syscoms College,Male,National,50
2017-2018 : Spring,Syscoms College,Male,Non-National,7
2018-2019 : Spring,Syscoms College,Male,National,21
2018-2019 : Spring,Syscoms College,Male,Non-National,10
2019-2020 : Fall,Syscoms College,Male,Non-National,3
2019-2020 : Spring,Syscoms College,Male,Non-National,1
2012-2013 : Spring,The British University in Dubai,Male,National,5
2013-2014 : Fall,The British University in Dubai,Male,National,20
2013-2014 : Fall,The British University in Dubai,Male,Non-National,50
2013-2014 : Spring,The British University in Dubai,Male,National,1
2013-2014 : Spring,The British University in Dubai,Male,Non-National,5
2014-2015 : Fall,The British University in Dubai,Male,Non-National,56
2014-2015 : Spring,The British University in Dubai,Male,National,17
2015-2016 : Fall,The British University in Dubai,Male,National,24
2015-2016 : Fall,The British University in Dubai,Male,Non-National,65
2015-2016 : Spring,The British University in Dubai,Male,Non-National,45
2016-2017 : Fall,The British University in Dubai,Male,National,36
2016-2017 : Fall,The British University in Dubai,Male,Non-National,51
2016-2017 : Spring,The British University in Dubai,Male,National,14
2016-2017 : Spring,The British University in Dubai,Male,Non-National,34
2017-2018 : Fall,The British University in Dubai,Male,National,29
2017-2018 : Fall,The British University in Dubai,Male,Non-National,63
2017-2018 : Winter,The British University in Dubai,Male,National,13
2018-2019 : Spring,University of Sharjah,Male,National,130
2018-2019 : Spring,University of Sharjah,Male,Non-National,135
2018-2019 : Summer 1,University of Sharjah,Male,Non-National,1
2018-2019 Full year courses,University of Sharjah,Male,National,10
2018-2019 Full year courses,University of Sharjah,Male,Non-National,114
2019-2020 : Summer 1,University of Sharjah,Male,Non-National,1
2020-2021 : Spring,University of Sharjah,Male,Non-National,125
2020-2021 : Summer 1,University of Sharjah,Male,National,2
2020-2021 : Summer 1,University of Sharjah,Male,Non-National,1
2021-2022 : Fall,University of Sharjah,Male,National,376
2021-2022 : Fall,University of Sharjah,Male,Non-National,521
2022-2023 : Spring,University of Sharjah,Male,National,461
2022-2023 : Spring,University of Sharjah,Male,Non-National,110
2013-2014 : Fall,University of Strathclyde Business School- UAE,Male,National,2
2013-2014 : Spring,University of Strathclyde Business School- UAE,Male,Non-National,28
2014-2015 : Fall,University of Strathclyde Business School- UAE,Male,National,5
2014-2015 : Fall,University of Strathclyde Business School- UAE,Male,Non-National,40
2014-2015 : Spring,University of Strathclyde Business School- UAE,Male,Non-National,22
2015-2016 : Fall,University of Strathclyde Business School- UAE,Male,Non-National,33
2016-2017 : Fall,University of Strathclyde Business School- UAE,Male,National,1
2016-2017 : Spring,University of Strathclyde Business School- UAE,Male,National,2
2019-2020 : Spring,University of Strathclyde Business School- UAE,Male,Non-National,1
2021-2022 : Fall,University of Strathclyde Business School- UAE,Male,National,1
2022-2023 : Spring,University of Strathclyde Business School- UAE,Male,Non-National,3
2012-2013 : Fall,University of Wollongong in Dubai,Male,National,76
2012-2013 : Spring,University of Wollongong in Dubai,Male,National,46
2012-2013 : Spring,University of Wollongong in Dubai,Male,Non-National,246
2013-2014 : Fall,University of Wollongong in Dubai,Male,Non-National,468
2013-2014 : Spring,University of Wollongong in Dubai,Male,Non-National,261
2014-2015 : Fall,University of Wollongong in Dubai,Male,Non-National,500
2015-2016 : Fall,University of Wollongong in Dubai,Male,National,18
2016-2017 : Fall,University of Wollongong in Dubai,Male,National,38
2016-2017 : Fall,University of Wollongong in Dubai,Male,Non-National,307
2016-2017 : Spring,University of Wollongong in Dubai,Male,National,22
2016-2017 : Spring,University of Wollongong in Dubai,Male,Non-National,183
2017-2018 : Fall,University of Wollongong in Dubai,Male,National,5
2017-2018 : Fall,University of Wollongong in Dubai,Male,Non-National,97
2017-2018 : Summer 1,University of Wollongong in Dubai,Male,National,6
2017-2018 : Summer 1,University of Wollongong in Dubai,Male,Non-National,73
2018-2019 : Fall,University of Wollongong in Dubai,Male,National,28
