Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2022-2023,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,96
2022-2023,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,174
2022-2023,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,31
2022-2023,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,NULL,NULL,شبه حكومية,Semi Government,Non-National,Admin,إداري,52
2022-2023,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,340
2022-2023,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,50
2022-2023,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,161
2022-2023,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,1355
2022-2023,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,182
2022-2023,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,الفجيرة,Fujairah,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2022-2023,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,135
2022-2023,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,73
2022-2023,SAINT JOSEPH UNIVERSITY DUBAI,NULL,NULL,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,1
2022-2023,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,7
2022-2023,SHARJAH EDUCATION ACADEMY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,58
2022-2023,SHARJAH PERFORMING ARTS ACADEMY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,43
2022-2023,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Admin,إداري,92
2022-2023,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,304
2022-2023,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Admin,إداري,55
2022-2023,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1587
2022-2023,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,85
2022-2023,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Admin,إداري,38
2022-2023,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF FUJAIRAH,الفجيرة,Fujairah,خاصة,Private,Non-National,Admin,إداري,63
2022-2023,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Admin,إداري,1528
2022-2023,UNIVERSITY OF STRATHCLYDE BUSINESS SCHOOL- UAE,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,4
2022-2023,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,165
2022-2023,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,197
2022-2023,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,315
