Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2019-2020,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,3
2019-2020,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,7
2019-2020,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Admin,إداري,100
2019-2020,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,125
2019-2020,SYSCOMS COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,14
2019-2020,THE COLLEGE OF FASHION AND DESIGN,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,19
2019-2020,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Admin,إداري,39
2019-2020,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1544
2019-2020,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,22
2019-2020,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,12
2019-2020,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,70
2019-2020,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Admin,إداري,28
2019-2020,UNIVERSITY OF MODERN SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,2
2019-2020,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Admin,إداري,1530
2019-2020,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,151
2019-2020,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,231
2019-2020,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,314
2020-2021,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,79
2020-2021,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,55
2020-2021,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,242
2020-2021,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,7
