Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,152
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,217
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,99.32%,148
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,96.70%,182
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,98.79%,165
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,96.86%,159
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,100.00%,146
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,97.94%,194
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,152
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,98.43%,191
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,182
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,97.51%,241
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,99.44%,180
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,91.00%,200
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,99.46%,185
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,96.57%,233
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,99.43%,175
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,95.98%,174
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,98.90%,182
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,94.14%,256
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,99.37%,158
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,92.96%,213
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,98.33%,180
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,97.56%,205
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,127
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,97.94%,194
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,100.00%,124
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,96.93%,228
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,99.27%,137
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.18%,177
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,100.00%,144
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,96.24%,213
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,100.00%,141
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,94.65%,187
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,99.29%,141
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,99.94%,1765
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,275
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,99.94%,1740
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,299
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,1720
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,347
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,1607
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,337
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,1778
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,326
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,99.89%,1785
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,99.69%,323
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,99.72%,1811
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,99.71%,350
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,99.88%,1674
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,99.38%,320
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,96.10%,1743
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,97.66%,342
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,94.44%,1582
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,94.64%,280
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,98.84%,1725
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,98.71%,309
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,98.36%,1466
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,97.97%,344
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,95.92%,1913
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,97.89%,331
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,93.96%,1574
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,94.49%,345
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,94.49%,1778
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,94.94%,316
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,91.80%,1574
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,92.62%,298
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,96.69%,1873
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,98.18%,330
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,95.93%,1671
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,96.73%,275
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,98.88%,1518
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,98.55%,344
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,99.41%,1367
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,99.66%,295
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,97.22%,1906
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,98.36%,304
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.08%,1680
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,96.47%,312
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,97.38%,1867
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,97.84%,324
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,98.88%,1603
2020-2021,_______ ________,Public,_____,AL AIN,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,98.63%,292
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,966
