STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,People of Determination,CEN_TYPE,Sector,GENDER,Gender,CITIZENSHIP,Nationality,DIS_TYPE,Disability Type,AGE_GRP,Age Group,QUAL,Qualification,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,966,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,754,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,486,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,557,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,470,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,505,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,806,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,1775,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,2038,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,2063,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,2557,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,1471,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,PRIV_SEC,Private Sector,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,1060,,,,,,,
